x0,top,text,size,fontname
456.7,140.1,l,10.0,BCDFEE+ArialMT
458.9,140.1,i,10.0,BCDFEE+ArialMT
460.9,140.1,t,10.0,BCDFEE+ArialMT
463.5,140.1,y,10.0,BCDFEE+ArialMT
468.6,140.1, ,10.0,BCDFEE+ArialMT
35.0,154.5,C,10.0,BCDEEE+Arial-BoldMT
42.1,154.5,o,10.0,BCDEEE+Arial-BoldMT
48.1,154.5,u,10.0,BCDEEE+Arial-BoldMT
54.1,154.5,r,10.0,BCDEEE+Arial-BoldMT
58.0,154.5,s,10.0,BCDEEE+Arial-BoldMT
63.4,154.5,e,10.0,BCDEEE+Arial-BoldMT
68.8,154.5,w,10.0,BCDEEE+Arial-BoldMT
76.4,154.5,o,10.0,BCDEEE+Arial-BoldMT
82.5,154.5,r,10.0,BCDEEE+Arial-BoldMT
86.3,154.5,k,10.0,BCDEEE+Arial-BoldMT
91.8,154.5,:,10.0,BCDFEE+ArialMT
94.6,154.5, ,10.0,BCDFEE+ArialMT
139.8,154.5,D,10.0,BCDFEE+ArialMT
147.0,154.5,a,10.0,BCDFEE+ArialMT
152.5,154.5,t,10.0,BCDFEE+ArialMT
155.3,154.5,a,10.0,BCDFEE+ArialMT
160.9,154.5, ,10.0,BCDFEE+ArialMT
163.1,154.5,S,10.0,BCDFEE+ArialMT
169.7,154.5,t,10.0,BCDFEE+ArialMT
172.5,154.5,r,10.0,BCDFEE+ArialMT
175.8,154.5,u,10.0,BCDFEE+ArialMT
181.3,154.5,c,10.0,BCDFEE+ArialMT
186.4,154.5,t,10.0,BCDFEE+ArialMT
189.2,154.5,u,10.0,BCDFEE+ArialMT
194.8,154.5,r,10.0,BCDFEE+ArialMT
198.1,154.5,e,10.0,BCDFEE+ArialMT
203.6,154.5,s,10.0,BCDFEE+ArialMT
208.7,154.5, ,10.0,BCDFEE+ArialMT
211.0,154.5,&,10.0,BCDFEE+ArialMT
217.6,154.5, ,10.0,BCDFEE+ArialMT
219.9,154.5,A,10.0,BCDFEE+ArialMT
226.5,154.5,l,10.0,BCDFEE+ArialMT
228.8,154.5,g,10.0,BCDFEE+ArialMT
234.3,154.5,o,10.0,BCDFEE+ArialMT
239.8,154.5,r,10.0,BCDFEE+ArialMT
243.1,154.5,i,10.0,BCDFEE+ArialMT
245.3,154.5,t,10.0,BCDFEE+ArialMT
248.2,154.5,h,10.0,BCDFEE+ArialMT
253.7,154.5,m,10.0,BCDFEE+ArialMT
262.1,154.5,s,10.0,BCDFEE+ArialMT
267.1,154.5,",",10.0,BCDFEE+ArialMT
269.9,154.5, ,10.0,BCDFEE+ArialMT
272.1,154.5,D,10.0,BCDFEE+ArialMT
278.8,154.5,a,10.0,BCDFEE+ArialMT
283.7,154.5,t,10.0,BCDFEE+ArialMT
286.0,154.5,a,10.0,BCDFEE+ArialMT
291.1,154.5,b,10.0,BCDFEE+ArialMT
296.1,154.5,a,10.0,BCDFEE+ArialMT
301.0,154.5,s,10.0,BCDFEE+ArialMT
305.5,154.5,e,10.0,BCDFEE+ArialMT
310.5,154.5, ,10.0,BCDFEE+ArialMT
312.8,154.5,M,10.0,BCDFEE+ArialMT
320.6,154.5,a,10.0,BCDFEE+ArialMT
325.5,154.5,n,10.0,BCDFEE+ArialMT
330.5,154.5,a,10.0,BCDFEE+ArialMT
335.6,154.5,g,10.0,BCDFEE+ArialMT
340.6,154.5,e,10.0,BCDFEE+ArialMT
345.7,154.5,m,10.0,BCDFEE+ArialMT
353.3,154.5,e,10.0,BCDFEE+ArialMT
358.4,154.5,n,10.0,BCDFEE+ArialMT
363.4,154.5,t,10.0,BCDFEE+ArialMT
365.6,154.5, ,10.0,BCDFEE+ArialMT
367.9,154.5,S,10.0,BCDFEE+ArialMT
373.9,154.5,y,10.0,BCDFEE+ArialMT
378.3,154.5,s,10.0,BCDFEE+ArialMT
382.9,154.5,t,10.0,BCDFEE+ArialMT
385.0,154.5,e,10.0,BCDFEE+ArialMT
390.1,154.5,m,10.0,BCDFEE+ArialMT
397.9,154.5,",",10.0,BCDFEE+ArialMT
400.0,154.5, ,10.0,BCDFEE+ArialMT
402.3,154.5,O,10.0,BCDFEE+ArialMT
409.5,154.5,b,10.0,BCDFEE+ArialMT
414.4,154.5,j,10.0,BCDFEE+ArialMT
416.2,154.5,e,10.0,BCDFEE+ArialMT
421.2,154.5,c,10.0,BCDFEE+ArialMT
425.7,154.5,t,10.0,BCDFEE+ArialMT
427.9,154.5, ,10.0,BCDFEE+ArialMT
430.0,154.5,O,10.0,BCDFEE+ArialMT
437.4,154.5,r,10.0,BCDFEE+ArialMT
440.2,154.5,i,10.0,BCDFEE+ArialMT
441.8,154.5,e,10.0,BCDFEE+ArialMT
446.8,154.5,n,10.0,BCDFEE+ArialMT
451.9,154.5,t,10.0,BCDFEE+ArialMT
